Date,Title,Artist
02/09/1990,Soca Dance,Charles D. Lewis
09/09/1990,Soca Dance,Charles D. Lewis
16/09/1990,Soca Dance,Charles D. Lewis
23/09/1990,Maldòn (la musique dans la peau),Zouk Machine
30/09/1990,Maldòn (la musique dans la peau),Zouk Machine
07/10/1990,À toutes les filles...,Félix Gray et Didier Barbelivien
14/10/1990,À toutes les filles...,Félix Gray et Didier Barbelivien
21/10/1990,Kingston Town,UB40
28/10/1990,Kingston Town,UB40
04/11/1990,Kingston Town,UB40
11/11/1990,Une femme avec une femme,Mecano
18/11/1990,Une femme avec une femme,Mecano
25/11/1990,Une femme avec une femme,Mecano
02/12/1990,Une femme avec une femme,Mecano
09/12/1990,Une femme avec une femme,Mecano
16/12/1990,Une femme avec une femme,Mecano
23/12/1990,Une femme avec une femme,Mecano
30/12/1990,Petit Frank,François Feldman
06/01/1991,Petit Frank,François Feldman
13/01/1991,Petit Frank,François Feldman
20/01/1991,Il faut laisser le temps au temps,Félix Gray et Didier Barbelivien
27/01/1991,Il faut laisser le temps au temps,Félix Gray et Didier Barbelivien
03/02/1991,Sadeness (Part I),Enigma
10/02/1991,Sadeness (Part I),Enigma
17/02/1991,Sadeness (Part I),Enigma
24/02/1991,Sadeness (Part I),Enigma
03/03/1991,Sadeness (Part I),Enigma
10/03/1991,Wind of Change,Scorpions
17/03/1991,Wind of Change,Scorpions
24/03/1991,Wind of Change,Scorpions
31/03/1991,Wind of Change,Scorpions
07/04/1991,Wind of Change,Scorpions
14/04/1991,Wind of Change,Scorpions
21/04/1991,Wind of Change,Scorpions
28/04/1991,Désenchantée,Mylène Farmer
05/05/1991,Désenchantée,Mylène Farmer
12/05/1991,Désenchantée,Mylène Farmer
19/05/1991,Désenchantée,Mylène Farmer
26/05/1991,Désenchantée,Mylène Farmer
02/06/1991,Désenchantée,Mylène Farmer
09/06/1991,Désenchantée,Mylène Farmer
16/06/1991,Désenchantée,Mylène Farmer
23/06/1991,Désenchantée,Mylène Farmer
30/06/1991,"Auteuil, Neuilly, Passy (rap BCBG)",Les Inconnus
07/07/1991,"Auteuil, Neuilly, Passy (rap BCBG)",Les Inconnus
14/07/1991,"Auteuil, Neuilly, Passy (rap BCBG)",Les Inconnus
21/07/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
28/07/1991,"Auteuil, Neuilly, Passy (rap BCBG)",Les Inconnus
04/08/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
